"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7229.8,-5.9587e-12,5.9042e-12,0.0053663,38.797,-3.1976e-14,3.1684e-14,1.4119e+05,377.1,244.8,23.05,3.3492e-16,-5.9153e-20,-1.0368e-15,2.5472e-19,2.2037e-19,-7.4919e-13,1,0,-0.017448,0.064651,0
7229.8,-6.8624e-12,6.2886e-12,0.0053663,38.797,-3.6826e-14,3.3747e-14,1.4119e+05,377.1,244.8,23.05,4.0755e-16,-3.1595e-20,-1.7239e-15,1.4289e-19,1.7346e-19,-2.7238e-12,1,0.0015141,-0.015958,0.064917,0
7229.8,-7.0827e-12,6.1449e-12,0.0053663,38.797,-3.8008e-14,3.2976e-14,1.4119e+05,377.1,244.8,23.05,5.5092e-16,-3.7024e-20,-1.5459e-15,3.8132e-20,-3.9949e-20,-7.7083e-12,1,0.0030282,-0.014467,0.065183,0
7229.8,-8.8108e-12,6.0541e-12,0.0053663,38.797,-4.7281e-14,3.2488e-14,1.4119e+05,377.1,244.8,23.05,6.3488e-16,5.7127e-21,-1.5242e-15,-9.3734e-20,-2.8345e-20,-7.1727e-12,1,0.0045423,-0.012977,0.065449,0
7229.8,-1e-11,6.0595e-12,0.0053663,38.797,-5.3663e-14,3.2517e-14,1.4119e+05,377.1,244.8,23.05,7.0555e-16,-1.2721e-19,-1.8281e-15,1.2142e-19,-2.1872e-20,-3.1011e-12,1,0.0060564,-0.011486,0.065715,0
7229.8,-9.9808e-12,5.8151e-12,0.0053663,38.797,-5.356e-14,3.1206e-14,1.4119e+05,377.1,244.8,23.05,5.8977e-16,-1.3984e-19,-1.0866e-15,7.7326e-19,7.3708e-20,-1.1312e-12,1,0.0075705,-0.0099957,0.065981,0
7229.8,-1.0628e-11,5.8979e-12,0.0053663,38.797,-5.7034e-14,3.165e-14,1.4119e+05,377.1,244.8,23.05,6.3059e-16,-1.6413e-19,-1.5361e-15,-7.2517e-19,1.2147e-19,-3.8822e-12,1,0.0090846,-0.0085051,0.066247,0
7229.8,-1.1059e-11,5.6636e-12,0.0053663,38.797,-5.9348e-14,3.0393e-14,1.4119e+05,377.1,244.8,23.05,8.8497e-16,-1.4838e-19,-1.7458e-15,-1.3886e-18,-1.9018e-18,-6.2332e-12,1,0.010599,-0.0070146,0.066513,0
7229.8,-1.2533e-11,5.0949e-12,0.0053663,38.797,-6.7257e-14,2.7341e-14,1.4119e+05,377.1,244.8,23.05,1.2349e-15,-1.7259e-19,-1.0138e-15,-1.4676e-17,-4.2241e-19,-5.6211e-12,1,0.012113,-0.005524,0.066779,0
7229.8,-7.7079e-12,5.099e-12,0.0053663,38.797,-4.1363e-14,2.7363e-14,1.4119e+05,377.1,244.8,23.05,5.6615e-16,-6.0022e-20,-1.0851e-15,8.8525e-18,5.6786e-18,2.5967e-12,1,0.013627,-0.0040335,0.067045,0
