"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7377,-1.2803e-12,-3.6479e-12,0.00071775,5.2948,-9.1895e-16,-2.6183e-15,19667,54.867,266.3,22.55,-1.5825e-16,2.5219e-20,4.2899e-16,-5.3121e-20,-2.5892e-20,-5.5367e-13,1,0,-0.017448,0.064651,0
7377,-1.8391e-12,-3.8153e-12,0.00071775,5.2948,-1.32e-15,-2.7384e-15,19667,54.867,266.3,22.55,-2.9529e-16,9.8492e-21,4.3451e-17,-3.5009e-21,2.9221e-21,-9.0504e-13,1,0.0015141,-0.015958,0.064917,0
7377,-1.6578e-12,-4.729e-12,0.00071775,5.2948,-1.1899e-15,-3.3942e-15,19667,54.867,266.3,22.55,-2.3512e-16,-6.7125e-21,-1.8861e-16,7.5291e-20,1.9676e-20,-8.4734e-13,1,0.0030282,-0.014467,0.065183,0
7377,-2.5937e-12,-5.5285e-12,0.00071775,5.2948,-1.8616e-15,-3.968e-15,19667,54.867,266.3,22.55,-2.9508e-16,-2.55e-20,2.8768e-17,1.3985e-20,4.6332e-21,-1.3643e-12,1,0.0045423,-0.012977,0.065449,0
7377,-3.0832e-12,-5.9883e-12,0.00071775,5.2948,-2.2129e-15,-4.2981e-15,19667,54.867,266.3,22.55,-2.9862e-16,-3.3026e-20,-1.2224e-16,-1.3383e-21,-6.0484e-21,-1.6819e-12,1,0.0060564,-0.011486,0.065715,0
7377,-3.2698e-12,-6.738e-12,0.00071775,5.2948,-2.3469e-15,-4.8362e-15,19667,54.867,266.3,22.55,-3.6749e-16,-2.5359e-20,-2.5257e-16,-5.1105e-20,1.2954e-20,-1.1438e-12,1,0.0075705,-0.0099957,0.065981,0
7377,-4.0806e-12,-7.2383e-12,0.00071775,5.2948,-2.9288e-15,-5.1952e-15,19667,54.867,266.3,22.55,-3.8965e-16,1.8635e-20,1.1514e-16,-1.2466e-19,2.1622e-19,1.016e-12,1,0.0090846,-0.0085051,0.066247,0
7377,-3.5798e-12,-7.9761e-12,0.00071775,5.2948,-2.5694e-15,-5.7248e-15,19667,54.867,266.3,22.55,-1.095e-16,2.8324e-20,2.0524e-16,-3.4965e-21,-1.2723e-19,1.0164e-12,1,0.010599,-0.0070146,0.066513,0
7377,-3.2504e-12,-9.0551e-12,0.00071775,5.2948,-2.333e-15,-6.4993e-15,19667,54.867,266.3,22.55,2.7599e-16,3.1209e-20,2.6697e-16,-5.2561e-20,-2.9246e-19,6.5548e-13,1,0.012113,-0.005524,0.066779,0
7377,-4.2755e-12,-9.571e-12,0.00071775,5.2948,-3.0687e-15,-6.8695e-15,19667,54.867,266.3,22.55,-1.3759e-16,7.3313e-20,5.2888e-16,-1.9227e-17,-6.7842e-19,2.476e-12,1,0.013627,-0.0040335,0.067045,0
7377,-5.4174e-13,-1.0512e-11,0.00071775,5.2948,-3.8883e-16,-7.5451e-15,19667,54.867,266.3,22.55,1.9869e-16,2.2561e-20,2.5699e-16,-1.9818e-17,-3.283e-18,4.7663e-13,1,0.015141,-0.0025429,0.067311,0
7377,2.2328e-11,-1.0755e-11,0.00071775,5.2948,1.6025e-14,-7.7196e-15,19667,54.867,266.3,22.55,3.0214e-15,-6.6472e-20,-3.5209e-16,-2.3735e-17,-1.4079e-17,-1.7485e-12,1,0.016655,-0.0010524,0.067577,0
