"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7083.9,1.5798e-12,1.2059e-11,0.064493,456.86,1.0189e-13,7.7773e-13,1.6283e+06,4047,218.6,23.9,-1.4201e-16,-1.6761e-18,2.3495e-14,7.4999e-18,1.2498e-18,9.0774e-11,1,0,-0.017448,0.064651,0
7083.9,1.712e-12,1.2757e-11,0.064493,456.86,1.1041e-13,8.2271e-13,1.6283e+06,4047,218.6,23.9,-1.5659e-16,1.2613e-19,1.7628e-14,5.7914e-18,-1.0529e-18,4.6465e-11,1,0.0015141,-0.015958,0.064917,0
7083.9,2.3342e-12,1.2931e-11,0.064493,456.86,1.5054e-13,8.3399e-13,1.6283e+06,4047,218.6,23.9,-1.7124e-17,-8.1471e-19,3.9481e-15,-1.2493e-19,-1.6191e-18,7.3607e-11,1,0.0030282,-0.014467,0.065183,0
7083.9,2.5867e-12,1.3209e-11,0.064493,456.86,1.6683e-13,8.5191e-13,1.6283e+06,4047,218.6,23.9,1.5756e-16,4.8282e-19,1.3561e-15,4.7861e-18,-1.3649e-18,8.6387e-11,1,0.0045423,-0.012977,0.065449,0
7083.9,2.8811e-12,1.3652e-11,0.064493,456.86,1.8581e-13,8.8048e-13,1.6283e+06,4047,218.6,23.9,2.3921e-16,1.1881e-18,-2.1527e-15,-7.9221e-18,2.4453e-18,8.7326e-12,1,0.0060564,-0.011486,0.065715,0
7083.9,3.0328e-12,1.3921e-11,0.064493,456.86,1.956e-13,8.9784e-13,1.6283e+06,4047,218.6,23.9,1.0094e-16,-5.6312e-19,-4.9059e-16,-1.6312e-17,5.0012e-18,1.1491e-11,1,0.0075705,-0.0099957,0.065981,0
7083.9,2.4477e-12,1.4322e-11,0.064493,456.86,1.5786e-13,9.2369e-13,1.6283e+06,4047,218.6,23.9,-7.366e-17,-1.1441e-18,6.8777e-15,-1.7316e-17,5.8651e-18,2.73e-11,1,0.0090846,-0.0085051,0.066247,0
7083.9,3.0604e-12,1.4365e-11,0.064493,456.86,1.9738e-13,9.2644e-13,1.6283e+06,4047,218.6,23.9,2.6393e-17,-2.1161e-18,5.1964e-15,-8.4483e-18,-8.3215e-18,2.8734e-11,1,0.010599,-0.0070146,0.066513,0
7083.9,3.1485e-12,1.4191e-11,0.064493,456.86,2.0306e-13,9.1525e-13,1.6283e+06,4047,218.6,23.9,4.2565e-17,-3.6606e-18,-7.176e-15,-9.7315e-18,-2.546e-17,-5.6434e-11,1,0.012113,-0.005524,0.066779,0
7083.9,7.9948e-13,1.4268e-11,0.064493,456.86,5.1561e-14,9.2018e-13,1.6283e+06,4047,218.6,23.9,3.3069e-16,-1.7338e-19,5.1441e-15,-1.6703e-17,9.6071e-17,-5.267e-11,1,0.013627,-0.0040335,0.067045,0
7083.9,2.8287e-12,1.4061e-11,0.064493,456.86,1.8243e-13,9.0685e-13,1.6283e+06,4047,218.6,23.9,-5.6495e-17,1.4601e-18,1.3263e-14,-3.246e-17,-6.2925e-17,1.6772e-12,1,0.015141,-0.0025429,0.067311,0
7083.9,1.0134e-11,1.4265e-11,0.064493,456.86,6.536e-13,9.2002e-13,1.6283e+06,4047,218.6,23.9,-1.5475e-15,2.0089e-18,8.485e-15,-1.5314e-16,-1.078e-15,1.1088e-10,1,0.016655,-0.0010524,0.067577,0
7083.9,-3.1397e-12,1.3835e-11,0.064493,456.86,-2.0249e-13,8.9225e-13,1.6283e+06,4047,218.6,23.9,3.6455e-15,-8.0036e-19,-4.2713e-15,-1.7739e-16,2.2245e-15,2.5178e-11,1,0.018169,0.0004382,0.067843,0
7083.9,-1.7885e-11,1.4178e-11,0.064493,456.86,-1.1535e-12,9.1439e-13,1.6283e+06,4047,218.6,23.9,1.4074e-14,-4.463e-18,-1.0894e-14,9.5954e-16,8.1527e-15,-1.2105e-10,1,0.019683,0.0019288,0.068109,0
7083.9,-3.3751e-12,1.3692e-11,0.064493,456.86,-2.1767e-13,8.8306e-13,1.6283e+06,4047,218.6,23.9,-4.4511e-14,1.8136e-18,2.0546e-14,7.7825e-16,-1.3605e-14,4.6605e-11,1,0.021197,0.0034193,0.068375,0
