"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7269,-6.4419e-12,7.3519e-12,0.025076,182.28,-1.6154e-13,1.8435e-13,6.6652e+05,1616,224.5,24.2,-4.8141e-16,-1.3758e-18,-5.8396e-16,8.518e-19,6.6849e-19,-1.1181e-11,1,0,-0.017448,0.064651,0
7269,-7.5605e-12,7.7935e-12,0.025076,182.28,-1.8959e-13,1.9543e-13,6.6652e+05,1616,224.5,24.2,-4.3052e-16,3.5432e-19,3.8914e-15,1.4584e-18,-4.7462e-20,8.3945e-12,1,0.0015141,-0.015958,0.064917,0
7269,-7.0516e-12,7.6301e-12,0.025076,182.28,-1.7683e-13,1.9133e-13,6.6652e+05,1616,224.5,24.2,-3.7335e-16,6.9385e-19,1.9936e-15,1.1315e-18,1.4152e-19,1.0968e-11,1,0.0030282,-0.014467,0.065183,0
7269,-8.1638e-12,7.653e-12,0.025076,182.28,-2.0471e-13,1.9191e-13,6.6652e+05,1616,224.5,24.2,-3.9793e-16,8.3072e-20,2.702e-15,-2.0899e-18,-1.2694e-18,1.6382e-11,1,0.0045423,-0.012977,0.065449,0
7269,-8.8712e-12,8.0019e-12,0.025076,182.28,-2.2245e-13,2.0065e-13,6.6652e+05,1616,224.5,24.2,-2.7753e-16,-7.9575e-19,-5.2787e-15,1.1731e-17,5.3328e-19,-2.4903e-11,1,0.0060564,-0.011486,0.065715,0
7269,-8.2825e-12,8.1827e-12,0.025076,182.28,-2.0769e-13,2.0519e-13,6.6652e+05,1616,224.5,24.2,-2.5526e-16,-1.5543e-18,-1.4306e-14,7.9842e-18,7.8014e-18,-5.9107e-11,1,0.0075705,-0.0099957,0.065981,0
7269,-9.7586e-12,8.4325e-12,0.025076,182.28,-2.447e-13,2.1145e-13,6.6652e+05,1616,224.5,24.2,-3.0847e-16,-1.6047e-18,-1.1073e-14,-7.2557e-17,-2.7273e-17,-5.2667e-11,1,0.0090846,-0.0085051,0.066247,0
7269,-8.5842e-12,8.4991e-12,0.025076,182.28,-2.1526e-13,2.1312e-13,6.6652e+05,1616,224.5,24.2,-1.3052e-16,-5.2879e-19,-1.5396e-15,-1.5094e-17,-3.4044e-17,-1.4266e-11,1,0.010599,-0.0070146,0.066513,0
7269,-6.1783e-12,8.4405e-12,0.025076,182.28,-1.5493e-13,2.1165e-13,6.6652e+05,1616,224.5,24.2,1.1187e-16,5.0373e-19,4.6389e-15,1.1537e-16,2.567e-17,4.5794e-11,1,0.012113,-0.005524,0.066779,0
7269,-1.4291e-11,8.9566e-12,0.025076,182.28,-3.5836e-13,2.2459e-13,6.6652e+05,1616,224.5,24.2,-2.9955e-17,1.2106e-18,7.4737e-15,-4.186e-16,1.6783e-16,6.1788e-11,1,0.013627,-0.0040335,0.067045,0
