"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7131.6,884.79,-0.039269,0.0018068,12.889,1.5986,-7.0608e-05,51289,1842.9,3568.5,6.0108,0.029575,5.1966e-07,0.0038532,0.00023601,6.6145e-06,15.02,1,0.5693,0.543,0.16466,0
7133,884.29,-0.037563,0.0018105,12.919,1.601,-6.7659e-05,51401,1841.2,3558.6,6.0209,0.029545,5.0045e-07,0.0037088,0.00024412,8.431e-06,14.429,1,0.57082,0.54449,0.16493,0
7134.5,883.8,-0.035414,0.0018143,12.948,1.6035,-6.3912e-05,51513,1839.5,3548.6,6.0309,0.029515,4.7816e-07,0.0035407,0.00025162,1.0115e-05,13.74,1,0.57233,0.54598,0.16519,0
7135.9,883.31,-0.033276,0.0018181,12.978,1.6059,-6.0168e-05,51625,1837.8,3538.7,6.041,0.029486,4.557e-07,0.0033713,0.00025838,1.1758e-05,13.047,1,0.57384,0.54747,0.16546,0
7137.4,882.82,-0.031149,0.0018218,13.008,1.6083,-5.6429e-05,51738,1836.1,3528.7,6.0511,0.029456,4.331e-07,0.0032007,0.00026438,1.3361e-05,12.349,1,0.57536,0.54896,0.16572,0
7138.8,882.33,-0.029034,0.0018256,13.037,1.6108,-5.2693e-05,51850,1834.4,3518.8,6.0612,0.029426,4.1033e-07,0.0030289,0.00026963,1.4924e-05,11.647,1,0.57687,0.55045,0.16599,0
7140.2,881.83,-0.02693,0.0018294,13.067,1.6132,-4.8961e-05,51962,1832.6,3508.9,6.0714,0.029396,3.8741e-07,0.0028557,0.00027414,1.6446e-05,10.939,1,0.57839,0.55194,0.16626,0
7141.7,881.36,-0.024153,0.0018331,13.097,1.6156,-4.4124e-05,52075,1831,3498.9,6.0815,0.029367,3.6548e-07,0.0026881,0.00027866,1.6775e-05,10.243,1,0.5799,0.55343,0.16652,0
7143.1,880.9,-0.021314,0.0018369,13.127,1.6181,-3.9183e-05,52188,1829.3,3489,6.0917,0.029337,3.4335e-07,0.0025186,0.00028268,1.682e-05,9.5378,1,0.58141,0.55492,0.16679,0
7144.6,880.43,-0.018552,0.0018407,13.157,1.6206,-3.4368e-05,52301,1827.6,3479,6.1019,0.029308,3.2075e-07,0.0023456,0.00028606,1.681e-05,8.8192,1,0.58293,0.55641,0.16705,0
7146,879.96,-0.01587,0.0018445,13.186,1.6231,-2.9681e-05,52414,1825.9,3469,6.1121,0.029278,2.9769e-07,0.0021691,0.0002888,1.6744e-05,8.0876,1,0.58444,0.55791,0.16732,0
7147.4,879.49,-0.013266,0.0018483,13.216,1.6255,-2.5121e-05,52527,1824.2,3459.1,6.1223,0.029249,2.7417e-07,0.0019891,0.00029089,1.6622e-05,7.3428,1,0.58596,0.5594,0.16759,0
7148.9,879.01,-0.010742,0.0018521,13.246,1.628,-2.0689e-05,52640,1822.5,3449.1,6.1326,0.029219,2.5017e-07,0.0018056,0.00029234,1.6445e-05,6.5849,1,0.58747,0.56089,0.16785,0
